0-100, *, 51744, Educated, *, NonMarried, Exec-managerial, Single, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 96480, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 226385, Educated, *, Married, Exec-managerial, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 473133, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 167474, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 62165, Educated, *, NonMarried, Sales, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 193565, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 203357, Educated, *, NonMarried, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 28053, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 226629, Educated, *, NonMarried, Priv-house-serv, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 176673, Educated, *, NonMarried, Sales, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 226296, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 287737, Educated, *, NonMarried, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 353213, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 85218, Educated, *, NonMarried, Prof-specialty, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 117392, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 312197, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 34848, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 4064, 0, 50-100, *, <=50k
0-100, *, 169527, Educated, *, Married, Sales, In-Family, Occident, Female, 4386, 0, 0-50, *, <=50k
0-100, *, 29235, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 101517, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 198664, Educated, *, Married, Craft-repair, In-Family, Orient, Male, 15024, 0, 50-100, *, >50k
0-100, *, 35683, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 318641, Educated, *, Married, Exec-managerial, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 595000, Educated, *, Married, Prof-specialty, In-Family, Orient, Female, 0, 0, 50-100, *, >50k
0-100, *, 173495, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 117529, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 436341, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 112062, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 190385, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 93169, Educated, *, Married, Other-service, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 100950, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 306215, Educated, *, NonMarried, Handlers-cleaners, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 183811, Educated, *, NonMarried, Handlers-cleaners, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 108837, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 238246, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 192002, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 212064, Educated, *, Married, Adm-clerical, Single, Occident, Female, 7443, 0, 0-50, *, <=50k
0-100, *, 346034, Educated, *, NonMarried, Other-service, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 154874, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Male, 4416, 0, 0-50, *, <=50k
0-100, *, 209101, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 5178, 0, 50-100, *, >50k
0-100, *, 192259, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 209538, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 79637, Educated, *, NonMarried, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 112564, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 245211, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 2036, 0, 0-50, *, <=50k
0-100, *, 209297, Educated, *, NonMarried, Machine-op-inspct, Single, Orient, Male, 0, 2001, 50-100, *, <=50k
0-100, *, 226296, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 234537, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 46746, Educated, *, NonMarried, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 93886, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 527162, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 185063, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 94413, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 30673, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 141058, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 405386, Educated, *, NonMarried, Craft-repair, Single, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 314375, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 49469, Educated, *, NonMarried, Sales, Single, Occident, Male, 99999, 0, 50-100, *, >50k
0-100, *, 506858, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 221167, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 253121, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 173806, Educated, *, NonMarried, Prof-specialty, Single, Occident, Male, 4865, 0, 50-100, *, <=50k
0-100, *, 103596, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 113198, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 191856, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 7298, 0, 50-100, *, >50k
0-100, *, 296724, Educated, *, NonMarried, Exec-managerial, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 164190, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 1902, 0-50, *, >50k
0-100, *, 112212, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 1485, 50-100, *, <=50k
0-100, *, 161018, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 381153, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 313729, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 186824, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 234960, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 1887, 50-100, *, >50k
0-100, *, 230420, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 434463, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 245173, Educated, *, Married, Sales, Single, Occident, Male, 0, 1669, 50-100, *, <=50k
0-100, *, 258675, Educated, *, NonMarried, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 153927, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 185216, Educated, *, NonMarried, Adm-clerical, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 69251, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 339142, Educated, *, Married, Handlers-cleaners, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 98656, Educated, *, NonMarried, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 140092, Educated, *, NonMarried, Tech-support, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 203488, Educated, *, Married, Sales, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 176711, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 62463, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 1579, 50-100, *, <=50k
0-100, *, 143699, Educated, *, Married, Other-service, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 156292, Educated, *, NonMarried, Handlers-cleaners, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 183473, Educated, *, Married, Transport-moving, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 29254, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 214288, Educated, *, NonMarried, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 106761, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 112139, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 684015, Educated, *, NonMarried, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 227931, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 248795, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 229732, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 252646, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 160634, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 324254, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 236318, Educated, *, NonMarried, Machine-op-inspct, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 103371, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 260560, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 173495, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 172716, Educated, *, Married, Armed-Forces, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 190040, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 178841, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 157747, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 133122, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 268051, Educated, *, Married, Protective-serv, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 199864, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 2057, 50-100, *, <=50k
0-100, *, 100669, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 419691, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 177733, Educated, *, Married, Machine-op-inspct, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 154246, Educated, *, Married, Prof-specialty, Single, Occident, Male, 4865, 0, 50-100, *, <=50k
0-100, *, 172928, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 32528, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 974, 50-100, *, <=50k
0-100, *, 50276, Educated, *, NonMarried, Sales, Single, Occident, Male, 27828, 0, 50-100, *, >50k
0-100, *, 81223, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 114955, Educated, *, Married, Machine-op-inspct, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 441454, Educated, *, NonMarried, Sales, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 198265, Educated, *, Married, Tech-support, In-Family, Occident, Male, 3103, 0, 50-100, *, >50k
0-100, *, 353927, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 227359, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 177639, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 113838, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 113543, Educated, *, NonMarried, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 376979, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 90614, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 207301, Educated, *, Married, Machine-op-inspct, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 56964, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 155151, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 183778, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 180284, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 62374, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 195602, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 422836, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 265917, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 174463, Educated, *, NonMarried, Farming-fishing, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 189944, Educated, *, NonMarried, Adm-clerical, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 126838, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 295855, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 176117, Educated, *, NonMarried, Sales, In-Family, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 342709, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 110622, Educated, *, NonMarried, Exec-managerial, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 40067, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 100079, Educated, *, Married, Sales, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 200117, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 216864, Educated, *, Married, Other-service, Single, Occident, Female, 0, 3770, 50-100, *, <=50k
0-100, *, 104293, Educated, *, NonMarried, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 101345, Educated, *, Married, Sales, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 355700, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 131552, Educated, *, NonMarried, Other-service, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 96245, Educated, *, Married, Farming-fishing, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 106541, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 177675, Educated, *, Married, Tech-support, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 581071, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 236415, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 194901, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 100135, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 1740, 0-50, *, <=50k
0-100, *, 362747, Educated, *, NonMarried, Other-service, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 154874, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 198003, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 216145, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 172304, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 153151, Educated, *, NonMarried, Handlers-cleaners, In-Family, Occident, Male, 4416, 0, 50-100, *, <=50k
0-100, *, 96635, Educated, *, NonMarried, Sales, Single, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 149184, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 1977, 50-100, *, >50k
0-100, *, 368675, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 118267, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 65278, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 205649, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 278514, Educated, *, Married, Craft-repair, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 183000, Educated, *, NonMarried, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 217235, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 79580, Educated, *, Married, Adm-clerical, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 92865, Educated, *, NonMarried, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 144064, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 301867, Educated, *, NonMarried, Adm-clerical, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 226267, Educated, *, NonMarried, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 198727, Educated, *, Married, Tech-support, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 221762, Educated, *, NonMarried, Prof-specialty, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 188246, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 116508, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 112941, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 184016, Educated, *, NonMarried, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 167474, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 137616, Educated, *, NonMarried, Prof-specialty, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 91666, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 122116, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 24504, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 34102, Educated, *, NonMarried, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 203488, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 137059, Educated, *, NonMarried, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 204742, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 250782, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 93206, Educated, *, Married, Farming-fishing, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 176185, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 2258, 50-100, *, <=50k
0-100, *, 422718, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 149220, Educated, *, NonMarried, Other-service, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 184784, Educated, *, Married, Machine-op-inspct, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 377283, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 166961, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 172498, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 285131, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 169496, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 173858, Educated, *, Married, Adm-clerical, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 78307, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 93056, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 288825, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 2258, 50-100, *, <=50k
0-100, *, 240979, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 155475, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 322873, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 129707, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 150570, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 248346, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 132601, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 168030, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 7298, 0, 0-50, *, >50k
0-100, *, 196385, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 157446, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 313729, Educated, *, NonMarried, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 31573, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 157747, Educated, *, Married, Handlers-cleaners, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 72338, Educated, *, Married, Exec-managerial, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 204042, Educated, *, NonMarried, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 205469, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 618191, Educated, *, NonMarried, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 125279, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 129529, Educated, *, Married, Machine-op-inspct, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 171216, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 199046, Educated, *, NonMarried, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 176185, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 255004, Educated, *, NonMarried, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 132705, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 161942, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 1055, 0, 50-100, *, <=50k
0-100, *, 163003, Educated, *, NonMarried, Exec-managerial, In-Family, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 312055, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 159322, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 199539, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 171876, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 54782, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 1579, 50-100, *, <=50k
0-100, *, 121488, Educated, *, NonMarried, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 295589, Educated, *, Married, Adm-clerical, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 158688, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 134886, Educated, *, NonMarried, Sales, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 272359, Educated, *, Married, Sales, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 55699, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 3908, 0, 50-100, *, <=50k
0-100, *, 295591, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
